feature,importance_mean,importance_std
Alcohol_Consumption,0.217,0.015132745950421569
LDL,0.11139999999999999,0.01365430335095864
Gender,0.05239999999999993,0.010762899237658979
BRCA_Pathogenic_Variant,0.021200000000000017,0.004833218389437833
HbA1c,0.020600000000000018,0.0049839743177508495
BMI,0.014800000000000013,0.006584831053261737
Systolic_BP,0.014200000000000013,0.008646386528486922
Cholesterol,0.005800000000000005,0.005095095681142804
Glucose_Level,0.005800000000000005,0.004044749683231341
PRS_Cardiometabolic,0.005600000000000005,0.0029393876913398165
Diastolic_BP,0.005600000000000005,0.0028000000000000026
eGFR,0.0026000000000000025,0.006327716807822555
HRV,0.0016000000000000014,0.001743559577416271
Physical_Activity_Level,0.0016000000000000014,0.001743559577416271
Depression_Score,0.001200000000000001,0.001326649916142161
Triglycerides,0.001200000000000001,0.0028565713714171423
Social_Isolation_Index,0.0010000000000000009,0.0018439088914585793
Stress_Level,0.0006000000000000005,0.0026907248094147447
Anxiety_Score,0.00040000000000000034,0.001959591794226544
Age,0.00040000000000000034,0.0032000000000000028
Sleep_Hours,0.0,0.0
Smoking_Status,0.0,0.0
APOE_e4_Carrier,0.0,0.0
PRS_Type2Diabetes,0.0,0.0
HDL,-0.00040000000000000034,0.006183849933496128
Sleep_Quality,-0.0006000000000000005,0.0009165151389911689
Family_History_CVD,-0.0008000000000000007,0.003487119154832542
Resting_Heart_Rate,-0.0014000000000000013,0.0029732137494637035
Diet_Type,-0.0014000000000000013,0.0009165151389911689
Family_History_T2D,-0.0018000000000000017,0.002271563338320112
Blood_Pressure,-0.0028000000000000026,0.002227105745132011
CRP,-0.0028000000000000026,0.0027129319932501094
Waist_Circumference,-0.004600000000000004,0.005660388679233967
